,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Praxedis Guerrero,1,MX,1580009959,37,31.37,-106.02,59.0,8.05
375,Lorengau,85,PG,1580009961,71,-2.02,147.27,84.22,6.04
376,Doha,0,QA,1580009882,33,25.29,51.53,57.2,9.17
377,Bontang,0,ID,1580009963,73,0.13,117.5,83.23,7.58
378,Wanning,100,CN,1580009964,86,18.8,110.4,62.89,11.99
379,Killybegs,100,IE,1580009844,93,54.63,-8.45,45.0,7.0
380,Guntakal,32,IN,1580009966,48,15.17,77.38,73.72,4.56
381,Lipari,40,IT,1580009969,100,38.47,14.95,59.0,9.17
382,Natal,20,BR,1580009970,83,-5.79,-35.21,82.4,9.17
383,Raudeberg,100,NO,1580009589,93,61.99,5.14,45.0,23.04
384,Roald,100,NO,1580009972,87,62.58,6.13,45.0,17.22
385,Makhu,0,IN,1580009973,65,31.1,75.0,49.5,2.51
386,Gamba,60,GA,1580009974,85,-2.65,10.0,78.03,2.08
387,Crotone,100,IT,1580009975,88,39.09,17.12,54.61,7.11
388,Djibo,97,BF,1580009976,10,14.1,-1.63,69.21,9.4
389,Tual,100,ID,1580009977,66,-5.67,132.75,85.28,9.6
390,Gull Lake,90,CA,1580009979,100,50.1,-108.48,26.6,21.92
391,Tomatlan,100,MX,1580009980,95,19.93,-105.25,67.71,2.66
392,Santa Marta,40,CO,1580009733,65,11.24,-74.2,82.4,13.87
393,La Asuncion,99,VE,1580009983,66,11.03,-63.86,87.8,9.17
394,Lerwick,100,GB,1580009831,81,60.15,-1.15,46.4,16.11
395,Ust'-Barguzin,100,RU,1580009985,80,53.45,108.98,7.14,2.44
396,Bethel,90,US,1580009986,100,41.37,-73.41,46.0,5.82
397,Hofn,82,IS,1580009987,86,64.25,-15.21,38.97,16.04
398,Khovd,100,MN,1580009988,55,48.01,91.64,9.9,1.63
399,Dhidhdhoo,100,MV,1580009562,65,6.88,73.1,82.02,4.36
400,Bilibino,100,RU,1580009550,89,68.05,166.44,-3.91,5.28
401,Batagay-Alyta,0,RU,1580009991,54,67.8,130.41,-33.7,4.74
402,Tilichiki,100,RU,1580009799,85,60.47,166.1,26.33,17.07
403,Curup,98,ID,1580009993,67,-3.47,102.53,80.29,0.54
404,Goderich,100,CA,1580009425,93,43.75,-81.72,36.0,3.0
405,Praia,75,CV,1580009585,41,14.92,-23.51,78.8,14.99
406,Hervey Bay,75,AU,1580009559,55,-25.3,152.85,88.0,11.41
407,Ust'-Kut,100,RU,1580009998,90,56.79,105.77,17.6,6.38
408,Bosaso,26,SO,1580010000,78,11.28,49.18,76.39,3.69
409,Orotukan,100,RU,1580010001,95,62.27,151.7,-24.0,2.77
410,Hasaki,75,JP,1580010003,93,35.73,140.83,43.0,8.05
411,Lata,40,PT,1580010004,93,40.16,-8.33,50.0,5.82
412,Dukat,100,RU,1580010006,98,62.55,155.55,-20.34,7.0
413,Liberia,4,LR,1580010008,98,6.5,-9.5,70.29,1.45
414,Big Spring,1,US,1580010009,40,32.25,-101.48,55.0,5.82
415,Hirara,100,JP,1580010010,86,24.8,125.28,73.62,16.02
416,Moree,90,AU,1580009387,58,-29.47,149.85,84.2,12.75
417,Nanton,0,CA,1580010012,66,50.35,-113.77,28.0,1.99
418,Klaksvik,100,FO,1580010013,93,62.23,-6.59,44.6,14.99
419,Moundou,33,TD,1580010014,16,8.57,16.08,58.26,2.13
420,La Rioja,90,ES,1580010015,93,42.25,-2.5,44.6,4.7
421,Mount Isa,75,AU,1580009513,88,-20.73,139.5,80.6,5.82
422,Aksu,100,CN,1580009511,71,41.12,80.26,24.3,1.88
423,Duvan,100,RU,1580010018,95,55.7,57.9,14.76,3.76
424,Muborak,34,UZ,1580010019,92,39.26,65.15,29.5,4.59
425,Weligama,87,LK,1580010021,72,5.97,80.42,78.03,6.2
426,Moose Factory,90,CA,1580009585,100,51.26,-80.61,26.6,4.7
427,Darnah,100,LY,1580010023,58,32.77,22.64,59.99,10.67
428,La Ronge,90,CA,1580010024,92,55.1,-105.28,23.0,5.82
429,Skibbereen,75,IE,1580010025,93,51.55,-9.27,48.2,19.46
430,Wilmington,1,US,1580009853,75,34.23,-77.94,46.99,5.82
431,Nuevo Progreso,69,MX,1580010027,91,23.17,-97.95,70.0,1.99
432,Wana,0,PK,1580010028,73,32.3,69.57,26.46,7.36
433,Huanren,0,CN,1580010029,72,41.26,125.37,19.36,2.46
434,Oussouye,50,SN,1580010030,50,12.48,-16.55,70.66,7.05
435,Luderitz,0,NA,1580010031,89,-26.65,15.16,65.68,18.32
436,Sibolga,0,ID,1580010032,63,1.74,98.78,86.38,1.19
437,Luanda,40,AO,1580009889,78,-8.84,13.23,80.6,2.24
438,Rio Claro,0,BR,1580010035,78,-22.41,-47.56,64.8,0.98
439,Tessalit,92,ML,1580010036,11,20.2,1.01,71.49,8.68
440,Russell,1,US,1580010037,86,32.35,-85.2,46.4,4.41
441,Erdaojiang,0,CN,1580010038,59,41.78,126.03,24.73,1.99
442,Cozumel,5,MX,1580010039,83,20.51,-86.95,75.99,6.93
443,Gazli,0,UZ,1580010040,71,40.13,63.45,26.22,2.71
444,Zyryanka,100,RU,1580009546,91,65.75,150.85,-25.98,5.64
445,Pennsville,90,US,1580010043,86,39.65,-75.52,42.01,6.93
446,Pingliang,100,CN,1580010044,74,35.54,106.69,23.05,8.39
447,Port Macquarie,32,AU,1580010045,55,-31.43,152.92,89.01,1.99
448,Lundazi,9,ZM,1580010047,95,-12.29,33.18,63.21,7.34
449,Asau,25,RO,1580010048,85,46.43,26.4,28.99,2.24
450,Prince Albert,90,CA,1580009750,86,53.2,-105.77,26.6,10.29
451,Khandyga,0,RU,1580010052,92,62.67,135.6,-40.04,0.67
452,Mezen,100,RU,1580010053,95,65.85,44.24,0.05,2.89
453,Mamou,67,GN,1580010054,17,10.5,-12.0,64.02,1.07
454,Cody,1,US,1580010055,59,44.53,-109.06,37.99,11.41
455,Kloulklubed,48,PW,1580010056,83,7.04,134.26,81.99,16.96
456,At-Bashi,28,KG,1580010057,68,41.17,75.81,-2.97,3.36
457,Talcahuano,0,CL,1580010059,67,-36.72,-73.12,64.54,7.85
458,Abha,20,SA,1580009867,70,18.22,42.51,46.4,6.93
459,Sorland,100,NO,1580010061,74,67.67,12.69,35.04,29.84
460,Finnsnes,79,NO,1580010062,76,69.23,17.98,24.01,12.75
461,Nurlat,8,RU,1580010063,97,54.43,50.81,12.6,1.7
462,Batouri,100,CM,1580010064,24,4.43,14.37,61.88,3.29
463,Thai Binh,70,VN,1580010066,67,20.45,106.33,58.48,8.59
464,Kumul,0,CN,1580010067,62,42.8,93.45,11.79,1.41
465,Narsaq,96,GL,1580009858,72,60.92,-46.05,10.4,6.93
466,Mossamedes,69,AO,1580009850,74,-15.2,12.15,74.68,12.53
467,Storforshei,100,NO,1580010071,94,66.4,14.52,18.7,6.62
468,Kunming,100,CN,1580010072,74,25.04,102.72,41.52,2.89
469,Ilebo,0,CD,1580010073,83,-4.32,20.58,70.81,1.3
470,Byron Bay,90,AU,1580009581,74,-28.65,153.62,88.0,10.29
471,Molochnyy,75,RU,1580010076,77,68.85,33.02,3.2,2.24
472,Kununurra,66,AU,1580010077,52,-15.77,128.73,91.4,1.12
473,Prosvet,94,RU,1580010078,94,55.57,65.08,13.64,10.18
474,Arrifes,40,PT,1580010079,82,37.77,-25.7,57.2,4.7
475,Alindao,99,CF,1580010080,28,5.03,21.21,63.27,5.66
476,El Seibo,20,DO,1580010081,100,18.76,-69.04,68.0,4.7
477,Ugep,90,NG,1580010083,15,5.81,8.08,67.39,6.22
478,Mlonggo,4,ID,1580010084,71,-6.53,110.7,84.02,9.55
479,Nieuw Amsterdam,80,SR,1580010085,94,5.88,-55.08,75.0,3.0
480,Saint-Ambroise,90,CA,1580010086,86,48.55,-71.33,27.0,17.22
481,Sorong,79,ID,1580010087,58,-0.88,131.25,90.16,3.76
482,Grand Gaube,75,MU,1580009549,83,-20.01,57.66,78.01,13.87
483,Banjarmasin,40,ID,1580010089,70,-3.32,114.59,87.8,2.24
484,Salalah,30,OM,1580010090,85,17.02,54.09,70.92,3.67
485,Saint George's,76,GD,1580010091,79,12.06,-61.75,79.21,11.9
486,Bereda,35,ES,1580010092,100,43.27,-7.54,46.0,6.93
487,Canutama,100,BR,1580010093,89,-6.53,-64.38,75.72,2.48
488,Kurilsk,71,RU,1580010095,75,45.23,147.88,12.76,26.62
489,Yinzhu,100,CN,1580010096,52,35.88,119.98,44.01,7.96
490,Cabedelo,75,BR,1580010097,88,-6.98,-34.83,78.53,4.99
491,Chulym,100,RU,1580010099,93,55.1,80.96,1.99,13.22
492,Port Hedland,0,AU,1580009580,11,-20.32,118.57,105.8,13.87
493,Teya,60,RU,1580010102,86,60.38,92.63,9.73,9.82
494,Caucaia,20,BR,1580009548,79,-3.74,-38.65,86.0,9.17
495,Dobson,90,US,1580010105,86,36.4,-80.72,37.4,8.05
496,Salamanca,90,ES,1580010106,100,40.83,-6.0,37.99,4.85
497,Khorixas,43,NA,1580010108,34,-20.37,14.97,71.85,1.14
498,Neftegorsk,100,RU,1580010109,96,52.8,51.17,27.5,6.15
499,High Rock,0,BS,1580010110,64,26.62,-78.28,70.25,9.4
500,Ust'-Ilimsk,100,RU,1580010111,87,58.0,102.66,22.68,8.57
501,Koumac,100,NC,1580010112,58,-20.57,164.28,83.79,4.68
502,Jaciara,100,BR,1580010113,87,-15.97,-54.97,72.57,0.85
503,Butare,100,RW,1580010115,85,-2.6,29.74,56.79,2.62
504,Keti Bandar,0,PK,1580010116,84,24.14,67.45,69.67,9.19
505,Ukiah,90,US,1580010117,93,39.15,-123.21,57.99,4.14
506,Springfield,40,US,1580009908,74,37.22,-93.3,42.8,6.93
507,Andenes,44,NO,1580010120,58,69.31,16.12,24.8,27.51
508,Codrington,100,AU,1580010121,78,-38.27,141.97,61.56,20.42
509,Ippy,89,CF,1580010122,20,6.27,21.22,66.18,8.48
510,Baykit,100,RU,1580010123,85,61.67,96.37,14.97,12.57
511,Namatanai,67,PG,1580010124,71,-3.67,152.43,85.87,12.68
512,Kant,0,IN,1580010125,68,27.8,79.8,52.92,4.18
513,Belomorsk,7,RU,1580010126,92,64.52,34.77,6.28,5.84
514,Skibotn,75,NO,1580010127,92,69.39,20.27,15.8,3.36
515,Kamariotissa,100,GR,1580010128,93,40.48,25.47,41.0,4.03
516,Sao Joao da Barra,100,BR,1580009572,90,-21.64,-41.05,73.27,5.39
517,Waitati,0,NZ,1580010130,66,-45.75,170.57,68.0,24.14
518,Pacific Grove,75,US,1580009485,93,36.62,-121.92,60.01,1.52
519,Dolores,0,AR,1580010133,68,-36.31,-57.68,61.21,7.9
520,Aklavik,90,CA,1580010134,68,68.22,-135.01,-14.8,16.11
521,Pringsewu,100,ID,1580010135,73,-5.36,104.97,83.5,2.01
522,Albox,85,ES,1580010136,87,37.39,-2.15,48.2,4.7
523,Soyo,98,AO,1580010137,83,-6.13,12.37,80.44,9.75
524,Gravdal,100,NO,1580010138,68,68.12,13.5,31.82,26.13
525,Tiquicheo,95,MX,1580010140,43,18.88,-100.73,68.49,2.77
526,Saurimo,100,AO,1580010141,94,-9.66,20.39,66.31,6.29
527,Kailua,20,US,1580009886,65,21.4,-157.74,80.01,9.17
528,Gardabani,0,GE,1580010143,32,41.46,45.09,37.4,23.04
529,Ambilobe,100,MG,1580010145,89,-13.2,49.05,76.28,3.74
530,Berezniki,100,RU,1580010146,79,59.42,56.81,12.0,1.99
531,Suamico,90,US,1580010147,98,44.63,-88.04,35.01,4.7
532,Kamenka,3,RU,1580010148,84,51.32,42.77,30.0,7.0
533,Ahipara,94,NZ,1580010149,84,-35.17,173.17,69.64,15.66
534,'Ewa Beach,20,US,1580010150,65,21.32,-158.01,80.01,9.17
535,Morros,100,BR,1580010151,88,-9.45,-46.3,74.68,3.74
536,Vodnyy,100,RU,1580010153,99,63.5,53.41,-9.65,3.89
537,Nome,0,US,1580010154,69,64.5,-165.41,-7.19,8.72
538,Boden,100,SE,1580010156,85,65.83,21.69,12.2,5.82
539,Tadine,29,NC,1580009584,65,-21.55,167.88,82.54,14.5
540,Berlevag,100,NO,1580009593,69,70.86,29.09,23.07,27.11
541,Petropavlovsk-Kamchatsky,40,RU,1580010159,68,53.05,158.65,28.4,4.47
542,Tiarei,40,PF,1580010160,70,-17.53,-149.33,86.0,8.05
543,Qasigiannguit,92,GL,1580010161,46,68.82,-51.19,6.8,10.29
544,Calama,100,CL,1580010162,82,-22.47,-68.93,57.18,3.47
545,Qujing,1,CN,1580010163,93,25.48,103.78,34.48,1.12
546,Shitanjing,76,CN,1580010165,71,39.23,106.34,28.29,3.15
547,Lakatoro,0,VU,1580010166,72,-16.1,167.42,82.38,9.86
548,Deputatsky,62,RU,1580010167,100,69.3,139.9,-40.94,0.72
549,Terra Santa,96,BR,1580010169,90,-2.1,-56.49,76.66,2.21
550,Talnakh,100,RU,1580010170,95,69.49,88.4,1.63,5.5
551,Sambava,96,MG,1580010171,96,-14.27,50.17,71.71,2.01
552,Sandakan,23,MY,1580010172,88,5.84,118.12,82.0,5.01
553,Clovis,20,US,1580010173,87,36.83,-119.7,55.99,3.36
554,Jishou,100,CN,1580010174,91,28.32,109.72,36.55,3.27
555,Meybod,100,IR,1580010176,76,32.25,54.02,35.1,7.94
556,Honiara,28,SB,1580010146,68,-9.43,159.95,83.97,5.19
557,Am Timan,36,TD,1580010178,21,11.03,20.28,56.32,6.35
558,Dakar,97,SN,1580010030,73,14.69,-17.44,71.6,21.92
559,Maromitsa,100,RU,1580010180,94,59.87,48.01,11.7,7.85
560,Caruray,55,PH,1580010181,80,10.31,119.01,80.76,5.86
561,Te Anau,100,NZ,1580009508,79,-45.42,167.72,63.37,7.38
562,Bandar-e Anzali,0,IR,1580010184,66,37.47,49.46,42.1,6.02
563,Urumqi,42,CN,1580010017,84,43.8,87.6,3.2,2.24
564,Swift Current,90,CA,1580010186,100,50.28,-107.8,26.6,21.92
565,Labuhan,0,ID,1580010187,69,-6.88,112.21,84.81,4.83
566,Pedasi,22,PA,1580010188,75,7.53,-80.03,78.66,20.13
567,Srednekolymsk,100,RU,1580010189,92,67.45,153.68,-23.49,2.33
568,Nogliki,0,RU,1580010190,83,51.83,143.17,-3.91,13.24
569,Guangzhou,20,CN,1580010137,87,23.12,113.25,57.99,13.42
570,Beidao,55,CN,1580010192,58,34.57,105.89,32.88,2.26
571,Nizhneangarsk,100,RU,1580010193,98,55.78,109.55,6.71,8.95
572,Chiniot,0,PK,1580010194,60,31.72,72.98,52.11,3.09
